# Day  	Sunrise  	Sunset  	Avg.High 	Avg.Low 	Mean 	RecordHigh 	RecordLow
01
2 	6:17 AM 	5:36 PM 	42°F 	28°F 	35°F 	66°F (2004) 	0°F (1886)
3 	6:16 AM 	5:37 PM 	42°F 	28°F 	35°F 	61°F (1945) 	4°F (1950)
4 	6:14 AM 	5:38 PM 	43°F 	28°F 	35°F 	70°F (1974) 	2°F (1950)
5 	6:13 AM 	5:39 PM 	43°F 	28°F 	36°F 	72°F (1880) 	-4°F (1872)
6 	6:11 AM 	5:41 PM 	43°F 	29°F 	36°F 	70°F (1894) 	-8°F (1872)
7 	6:09 AM 	5:42 PM 	44°F 	29°F 	36°F 	69°F (1946) 	2°F (1872)
8 	7:08 AM 	6:43 PM 	44°F 	29°F 	37°F 	67°F (1995) 	7°F (2007)
9 	7:06 AM 	6:44 PM 	44°F 	30°F 	37°F 	72°F (2000) 	5°F (2007)
10 	7:04 AM 	6:45 PM 	44°F 	30°F 	37°F 	71°F (1878) 	6°F (1984)
11 	7:03 AM 	6:46 PM 	45°F 	30°F 	37°F 	67°F (1990) 	9°F (1939)
12 	7:01 AM 	6:47 PM 	45°F 	30°F 	38°F 	69°F (1902) 	7°F (1900)
13 	6:59 AM 	6:49 PM 	45°F 	31°F 	38°F 	73°F (1990) 	3°F (1885)
14 	6:58 AM 	6:50 PM 	46°F 	31°F 	38°F 	76°F (1946) 	12°F (1896)
15 	6:56 AM 	6:51 PM 	46°F 	31°F 	39°F 	72°F (1990) 	12°F (1993)
16 	6:54 AM 	6:52 PM 	46°F 	31°F 	39°F 	71°F (2000) 	10°F (1872)
17 	6:52 AM 	6:53 PM 	47°F 	32°F 	39°F 	70°F (1990) 	10°F (1916)
18 	6:51 AM 	6:54 PM 	47°F 	32°F 	39°F 	70°F (1999) 	5°F (1885)
19 	6:49 AM 	6:56 PM 	47°F 	32°F 	40°F 	72°F (1903) 	5°F (1876)
20 	6:47 AM 	6:57 PM 	47°F 	33°F 	40°F 	79°F (1945) 	10°F (1885)
21 	6:45 AM 	6:58 PM 	48°F 	33°F 	40°F 	83°F (1921) 	7°F (1885)
22 	6:44 AM 	6:59 PM 	48°F 	33°F 	41°F 	72°F (1948) 	8°F (1885)
23 	6:42 AM 	7:00 PM 	48°F 	33°F 	41°F 	78°F (1938) 	6°F (1934)
24 	6:40 AM 	7:01 PM 	49°F 	34°F 	41°F 	72°F (1920) 	6°F (1874)
25 	6:38 AM 	7:02 PM 	49°F 	34°F 	42°F 	78°F (1963) 	10°F (1878)
26 	6:37 AM 	7:04 PM 	49°F 	34°F 	42°F 	79°F (1922) 	13°F (1960)
27 	6:35 AM 	7:05 PM 	50°F 	35°F 	42°F 	79°F (1998) 	16°F (1873)
28 	6:33 AM 	7:06 PM 	50°F 	35°F 	42°F 	85°F (1998) 	11°F (1923)
29 	6:31 AM 	7:07 PM 	50°F 	35°F 	43°F 	86°F (1945) 	4°F (1923)
30 	6:30 AM 	7:08 PM 	51°F 	35°F 	43°F 	81°F (1977) 	10°F (1884)
31 	6:28 AM 	7:09 PM 	51°F 	36°F 	43°F 	89°F (1998) 	15°F (1923)

04
1  	 6:26 AM  	 7:10 PM  	51°F  	36°F  	44°F  	76°F (1918)  	13°F (1923)
2 	6:24 AM 	7:12 PM 	52°F 	36°F 	44°F 	75°F (1967) 	19°F (1919)
3 	6:23 AM 	7:13 PM 	52°F 	37°F 	44°F 	77°F (1892) 	21°F (1954)
4 	6:21 AM 	7:14 PM 	52°F 	37°F 	45°F 	75°F (1950) 	17°F (1954)
5 	6:19 AM 	7:15 PM 	53°F 	37°F 	45°F 	84°F (1928) 	11°F (1874)
6 	6:18 AM 	7:16 PM 	53°F 	38°F 	45°F 	82°F (1928) 	20°F (1881)
7 	6:16 AM 	7:17 PM 	53°F 	38°F 	46°F 	86°F (1991) 	16°F (1982)
8 	6:14 AM 	7:18 PM 	53°F 	38°F 	46°F 	85°F (1991) 	21°F (1888)
9 	6:13 AM 	7:20 PM 	54°F 	38°F 	46°F 	85°F (1991) 	24°F (1888)
10 	6:11 AM 	7:21 PM 	54°F 	39°F 	47°F 	85°F (1922) 	26°F (1997)
11 	6:09 AM 	7:22 PM 	54°F 	39°F 	47°F 	78°F (1955) 	25°F (1909)
12 	6:08 AM 	7:23 PM 	55°F 	39°F 	47°F 	85°F (1977) 	20°F (1874)
13 	6:06 AM 	7:24 PM 	55°F 	40°F 	47°F 	86°F (1977) 	20°F (1874)
14 	6:05 AM 	7:25 PM 	56°F 	40°F 	48°F 	81°F (1945) 	26°F (1940)
15 	6:03 AM 	7:26 PM 	56°F 	40°F 	48°F 	82°F (1896) 	28°F (1943)
16 	6:01 AM 	7:28 PM 	56°F 	41°F 	48°F 	84°F (2003) 	28°F (1943)
17 	6:00 AM 	7:29 PM 	57°F 	41°F 	49°F 	93°F (2002) 	26°F (1908)
18 	5:58 AM 	7:30 PM 	57°F 	41°F 	49°F 	94°F (1976) 	26°F (1887)
19 	5:57 AM 	7:31 PM 	57°F 	42°F 	49°F 	87°F (1914) 	22°F (1875)
20 	5:55 AM 	7:32 PM 	58°F 	42°F 	50°F 	89°F (1976) 	21°F (1897)
21 	5:54 AM 	7:33 PM 	58°F 	42°F 	50°F 	88°F (1957) 	21°F (1875)
22 	5:52 AM 	7:34 PM 	58°F 	43°F 	50°F 	88°F (1977) 	26°F (1875)
23 	5:51 AM 	7:35 PM 	59°F 	43°F 	51°F 	86°F (2007) 	29°F (1933)
24 	5:49 AM 	7:37 PM 	59°F 	43°F 	51°F 	84°F (2001) 	28°F (1882)
25 	5:48 AM 	7:38 PM 	59°F 	43°F 	51°F 	83°F (1982) 	27°F (1892)
26 	5:46 AM 	7:39 PM 	60°F 	44°F 	52°F 	85°F (1872) 	28°F (1919)
27 	5:45 AM 	7:40 PM 	60°F 	44°F 	52°F 	92°F (1990) 	33°F (1993)
28 	5:44 AM 	7:41 PM 	60°F 	44°F 	52°F 	90°F (1990) 	30°F (1947)
29 	5:42 AM 	7:42 PM 	61°F 	45°F 	53°F 	85°F (1974) 	31°F (1909)
30 	5:41 AM 	7:43 PM 	61°F 	45°F 	53°F 	86°F (1942) 	31°F (1874)

05
1  	 5:39 AM  	 7:44 PM  	61°F  	45°F  	53°F  	89°F (1899)  	33°F (1880)
2 	5:38 AM 	7:45 PM 	62°F 	46°F 	54°F 	91°F (2001) 	33°F (1874)
3 	5:37 AM 	7:47 PM 	62°F 	46°F 	54°F 	92°F (2001) 	31°F (1882)
4 	5:36 AM 	7:48 PM 	63°F 	46°F 	54°F 	90°F (2001) 	33°F (1911)
5 	5:34 AM 	7:49 PM 	63°F 	47°F 	55°F 	89°F (1949) 	35°F (1907)
6 	5:33 AM 	7:50 PM 	63°F 	47°F 	55°F 	90°F (1930) 	33°F (1891)
7 	5:32 AM 	7:51 PM 	64°F 	47°F 	55°F 	95°F (1930) 	37°F (1992)
8 	5:31 AM 	7:52 PM 	64°F 	48°F 	56°F 	87°F (1964) 	34°F (1956)
9 	5:29 AM 	7:53 PM 	64°F 	48°F 	56°F 	95°F (1979) 	35°F (1977)
10 	5:28 AM 	7:54 PM 	65°F 	48°F 	57°F 	94°F (1979) 	34°F (1902)
11 	5:27 AM 	7:55 PM 	65°F 	49°F 	57°F 	91°F (1993) 	33°F (1900)
12 	5:26 AM 	7:56 PM 	65°F 	49°F 	57°F 	88°F (2001) 	33°F (1907)
13 	5:25 AM 	7:57 PM 	66°F 	49°F 	58°F 	87°F (1947) 	38°F (1882)
14 	5:24 AM 	7:58 PM 	66°F 	50°F 	58°F 	86°F (1879) 	37°F (1895)
15 	5:23 AM 	7:59 PM 	66°F 	50°F 	58°F 	93°F (1900) 	36°F (1947)
16 	5:22 AM 	8:00 PM 	67°F 	50°F 	59°F 	93°F (1932) 	34°F (1936)
17 	5:21 AM 	8:01 PM 	67°F 	51°F 	59°F 	92°F (1977) 	39°F (1882)
18 	5:20 AM 	8:02 PM 	67°F 	51°F 	59°F 	91°F (1936) 	37°F (2002)
19 	5:19 AM 	8:03 PM 	68°F 	51°F 	60°F 	90°F (1986) 	38°F (1882)
20 	5:18 AM 	8:04 PM 	68°F 	51°F 	60°F 	91°F (1996) 	40°F (1892)
21 	5:17 AM 	8:05 PM 	68°F 	52°F 	60°F 	93°F (1921) 	41°F (1907)
22 	5:16 AM 	8:06 PM 	69°F 	52°F 	61°F 	93°F (1959) 	39°F (1894)
23 	5:16 AM 	8:07 PM 	69°F 	52°F 	61°F 	93°F (1964) 	40°F (1967)
24 	5:15 AM 	8:08 PM 	69°F 	53°F 	61°F 	93°F (1964) 	36°F (1882)
25 	5:14 AM 	8:09 PM 	70°F 	53°F 	62°F 	92°F (2007) 	40°F (1967)
26 	5:13 AM 	8:10 PM 	70°F 	53°F 	62°F 	97°F (1880) 	39°F (1882)
27 	5:13 AM 	8:10 PM 	71°F 	54°F 	62°F 	96°F (1880) 	39°F (1915)
28 	5:12 AM 	8:11 PM 	71°F 	54°F 	62°F 	92°F (1931) 	43°F (1917)
29 	5:12 AM 	8:12 PM 	71°F 	54°F 	63°F 	94°F (1931) 	39°F (1902)
30 	5:11 AM 	8:13 PM 	72°F 	55°F 	63°F 	96°F (1929) 	35°F (1884)
31 	5:11 AM 	8:14 PM 	72°F 	55°F 	63°F 	96°F (1944) 	39°F (1884)

06
1  	 5:10 AM  	 8:15 PM  	72°F  	55°F  	64°F  	96°F (1879)  	41°F (1945)
2 	5:10 AM 	8:15 PM 	73°F 	56°F 	64°F 	96°F (1895) 	42°F (1884)
3 	5:09 AM 	8:16 PM 	73°F 	56°F 	64°F 	98°F (1919) 	44°F (1915)
